Number of Reads,125000
Reads With Valid Barcodes,0.949152
Sequencing Saturation,0.0413404
Q30 Bases in CB+UMI,0.949754
Q30 Bases in RNA read,0.834794
Reads Mapped to Genome: Unique+Multiple,0.142656
Reads Mapped to Genome: Unique,0.123792
Reads Mapped to Gene: Unique+Multiple Gene,NoMulti
Reads Mapped to Gene: Unique Gene,0.069472
Estimated Number of Cells,4675
Unique Reads in Cells Mapped to Gene,8684
Fraction of Unique Reads in Cells,1
Mean Reads per Cell,1
Median Reads per Cell,1
UMIs in Cells,8325
Mean UMI per Cell,1
Median UMI per Cell,1
Mean Gene per Cell,1
Median Gene per Cell,1
Total Gene Detected,341
